Event Receive Time,Incident ID,DayOfWeek(Event Receive Time),HourOfDay(Event Receive Time),Event Type,Event Name,Incident Reporting Device,Incident Source,Incident Target,Host IP,Host Name,Incident Status,Incident Resolution,Incident Tag Name,Incident Comments,Incident Category,Attack Technique,Attack Tactic
2022-10-11 11:09:00,9525,2,11,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx54.fortinet-us.com,,"hostIpAddr:172.30.54.54, hostName:ussvnplesx54.fortinet-us.com,",172.30.54.54,ussvnplesx54.fortinet-us.com,2,3,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:01:00,7894,2,11,PH_RULE_Linux_Creation_of_an_Archive_with_Common_Archivers,Linux: Creation of an Archive with Common Archivers,sp14816.fortinet.com,,"hostName:sp14816, targetOsObjName:,",,sp14816,0,1,,,4,"[{""name"": ""Data Staged: Local Data Staging"", ""techniqueid"": ""T1074.001""}]",Collection
2022-10-11 10:48:00,9705,2,10,PH_RULE_SERVER_CPU_WARN,Server CPU Warning,ussvnplesx51.fortinet-us.com,,"hostIpAddr:172.30.54.51, hostName:ussvnplesx51.fortinet-us.com,",172.30.54.51,ussvnplesx51.fortinet-us.com,2,3,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 10:39:00,9736,2,10,PH_RULE_Linux_Discovery_of_Network_Environment_via_Built_in_Tools,Linux: Discovery of Network Environment via Built-in Tools,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,0,1,,,4,"[{""name"": ""System Network Configuration Discovery: Internet Connection Discovery"", ""techniqueid"": ""T1016.001""}]",Discovery
2022-10-11 10:38:00,9735,2,10,PH_RULE_Linux_Remote_Terminal_Sessions,Linux: Remote Terminal Sessions,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,0,1,,,4,"[{""name"": ""Remote Services: SSH"", ""techniqueid"": ""T1021.004""}]",Lateral Movement
2022-10-11 10:34:00,9734,2,10,PH_RULE_ESX_CPU_CRIT,ESX CPU Critical,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 10:33:30,9733,2,10,PH_RULE_SERVER_CPU_CRIT,Server CPU Critical,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 10:02:30,9729,2,10,PH_RULE_SERVER_CPU_CRIT,Server CPU Critical,ussvnplesx58.fortinet-us.com,,"hostIpAddr:172.30.54.58, hostName:ussvnplesx58.fortinet-us.com,",172.30.54.58,ussvnplesx58.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 10:02:30,9730,2,10,PH_RULE_ESX_CPU_CRIT,ESX CPU Critical,ussvnplesx58.fortinet-us.com,,"hostIpAddr:172.30.54.58, hostName:ussvnplesx58.fortinet-us.com,",172.30.54.58,ussvnplesx58.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 10:00:30,9727,2,10,PH_RULE_LINUX_USER_CREATED,Linux User Created,sp14816.fortinet.com,,"hostName:sp14816.fortinet.com, user:fsmadmin,",,sp14816.fortinet.com,0,1,,,3,"[{""name"": ""Create Account: Local Account"", ""techniqueid"": ""T1136.001""}]",Persistence
2022-10-11 10:00:30,9728,2,10,PH_RULE_SYS_USER_CREATED,FortiSIEM User Created,sp14816.fortinet.com,,"user:, domain:, targetUser:, targetDomain:, hostName:sp14816.fortinet.com,",,sp14816.fortinet.com,0,1,,,3,"[{""name"": ""Create Account: Local Account"", ""techniqueid"": ""T1136.001""}]",Persistence
2022-10-11 09:59:30,9726,2,9,PH_RULE_LINUX_USER_DELETED,Linux User Deleted,sp14816.fortinet.com,,"hostName:sp14816.fortinet.com, user:fsmadmin,",,sp14816.fortinet.com,0,1,,,3,"[{""name"": ""Account Manipulation: Additional Cloud Credentials"", ""techniqueid"": ""T1098.001""}]",Persistence
2022-10-11 09:42:00,9725,2,9,PH_RULE_ESX_MEM_CRIT,ESX Memory Critical,ussvnplesx54.fortinet-us.com,,"hostIpAddr:172.30.54.54, hostName:ussvnplesx54.fortinet-us.com,",172.30.54.54,ussvnplesx54.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 09:40:30,9724,2,9,PH_RULE_VM_MEM_CRIT,Virtual Machine Memory Swapping Critical,supervisor_don.fortinet.com,,"hostIpAddr:172.30.59.190, hostName:supervisor_don.fortinet.com, vmName:FortiSIEM-VA-6.1.0.0112_supervisor.190,",172.30.59.190,supervisor_don.fortinet.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
